Date,Name,Year,Letterboxd URI,Rating
2020-07-03,Eli,2019,https://boxd.it/hn4S,1.5
2020-07-05,BlacKkKlansman,2018,https://boxd.it/hxL8,4
2020-07-13,1922,2017,https://boxd.it/g8CS,2
2020-07-13,After,2019,https://boxd.it/jBb8,0.5
2020-07-19,Black Mirror: The National Anthem,2011,https://boxd.it/hQYK,3.5
2020-07-19,Black Mirror: Be Right Back,2013,https://boxd.it/hRpw,3
2020-07-19,Black Mirror: White Christmas,2014,https://boxd.it/B3qu,4
2020-07-19,Black Mirror: Bandersnatch,2018,https://boxd.it/kTDG,3
2020-07-23,Chinese Take-Away,2011,https://boxd.it/2eGy,3.5
2020-07-27,The Kissing Booth 2,2020,https://boxd.it/lrky,0.5
2020-07-28,"Paris, Texas",1984,https://boxd.it/29Ts,4.5
2020-07-29,The Thing,1982,https://boxd.it/294O,4
2020-07-30,Schindler's List,1993,https://boxd.it/2aq2,4
2020-07-30,Creep 2,2017,https://boxd.it/dSEO,3.5
2020-07-31,Snatch,2000,https://boxd.it/2b7U,4.5
2020-07-31,Natural Born Killers,1994,https://boxd.it/2aNg,3.5
2020-07-31,Corpse Bride,2005,https://boxd.it/24WQ,4
2020-07-31,The Blair Witch Project,1999,https://boxd.it/26ua,2
2020-07-31,Seven Psychopaths,2012,https://boxd.it/34PW,3
2020-08-01,The Impossible,2012,https://boxd.it/2N9k,3.5
2020-08-01,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,3.5
2020-08-03,Steve Jobs,2015,https://boxd.it/araG,3.5
2020-08-03,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4.5
2020-08-03,Shrek,2001,https://boxd.it/29zi,5
2020-08-03,"Monsters, Inc.",2001,https://boxd.it/2a46,5
2020-08-04,Funny Games,1997,https://boxd.it/1WKM,4
2020-08-06,How to Talk to Girls at Parties,2017,https://boxd.it/bo80,2.5
2020-08-06,Good Will Hunting,1997,https://boxd.it/2ahY,4
2020-08-06,A Ghost Story,2017,https://boxd.it/fb0K,3.5
2020-08-06,Requiem for a Dream,2000,https://boxd.it/29VI,4
2020-08-06,Zodiac,2007,https://boxd.it/27MO,4
2020-08-06,Da 5 Bloods,2020,https://boxd.it/lnXw,3.5
2020-08-11,Princess Mononoke,1997,https://boxd.it/2b4w,5
2020-08-11,Pulp Fiction,1994,https://boxd.it/29Pq,4
2020-08-11,Donnie Darko,2001,https://boxd.it/2b2A,4
2020-08-12,Fargo,1996,https://boxd.it/2aHM,4
2020-08-14,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO,2.5
2020-08-31,Wild Tales,2014,https://boxd.it/7UmK,4.5
2020-09-01,Maggie,2015,https://boxd.it/8Vfi,3
2020-09-05,Boyz n the Hood,1991,https://boxd.it/29Ug,4
2020-09-09,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ,3.5
2020-09-09,Son of the Mask,2005,https://boxd.it/1WNQ,0.5
2020-09-09,Slumdog Millionaire,2008,https://boxd.it/1S3E,4
2020-09-28,Prisoners,2013,https://boxd.it/4E5i,4.5
2020-10-05,The Usual Suspects,1995,https://boxd.it/29XE,4
2020-10-14,Blue Velvet,1986,https://boxd.it/29BI,4.5
2020-10-23,War Dogs,2016,https://boxd.it/9SlO,3.5
2020-10-24,Fallen Angels,1995,https://boxd.it/1UkW,5
2021-01-14,Enemy,2013,https://boxd.it/5xtO,4
2021-01-16,Mank,2020,https://boxd.it/mIuC,3
2021-01-16,Carnage,2011,https://boxd.it/2peU,4
2021-01-17,Irreversible,2002,https://boxd.it/29as,4.5
2021-01-18,Good Time,2017,https://boxd.it/fcFu,3.5
2021-01-22,The Lobster,2015,https://boxd.it/7tnw,4.5
2021-01-26,Euphoria: F*ck Anyone Who’s Not a Sea Blob,2021,https://boxd.it/tMkU,4.5
2021-02-04,Eerie,2018,https://boxd.it/iX84,2
2021-02-12,Elite Squad,2007,https://boxd.it/20YI,3.5
2021-02-25,You Were Never Really Here,2017,https://boxd.it/dWOS,4
2021-03-07,Manchester by the Sea,2016,https://boxd.it/b2L0,3.5
2021-03-10,Rent-A-Pal,2020,https://boxd.it/qswq,3
2021-03-12,Blade Runner,1982,https://boxd.it/2bcA,3
2021-03-16,Suspiria,1977,https://boxd.it/1SNW,4
2021-04-08,Perfect Blue,1997,https://boxd.it/1W7A,5
2021-04-08,GoodFellas,1990,https://boxd.it/29FA,4.5
2021-04-08,The Invisible Guest,2016,https://boxd.it/euce,3.5
2021-04-08,Arrival,2016,https://boxd.it/aNGk,3
2021-04-11,Shoplifters of the World,2021,https://boxd.it/f6Bm,2.5
2021-05-01,After.Life,2009,https://boxd.it/1aAY,1.5
2021-06-06,Raw,2016,https://boxd.it/dLd2,2.5
2021-06-06,Hacksaw Ridge,2016,https://boxd.it/azew,3
2021-06-07,Paprika,2006,https://boxd.it/23wW,4
2021-06-21,Joker,2019,https://boxd.it/h4cS,2.5
2021-06-21,Dog Day Afternoon,1975,https://boxd.it/29bg,4
2021-08-20,Closer,2004,https://boxd.it/270K,2.5
2021-09-01,Ex Machina,2015,https://boxd.it/7T2k,3.5
2021-09-01,Another Round,2020,https://boxd.it/lkba,3.5
2021-10-05,Squid Game,2021,https://boxd.it/x1OG,2.5
2021-10-05,Halloween,1978,https://boxd.it/2wRu,4
2021-10-06,"Sweetie, You Won't Believe It",2020,https://boxd.it/pr4S,3
2021-10-09,Heroic Losers,2019,https://boxd.it/lXFS,3
2021-10-09,There Will Be Blood,2007,https://boxd.it/20Z2,4
2021-10-12,Akira,1988,https://boxd.it/2b1i,5
2021-10-23,The Guilty,2021,https://boxd.it/kOPW,3
2021-11-06,Meet Joe Black,1998,https://boxd.it/2aEI,3.5
2021-12-01,The Pianist,2002,https://boxd.it/2aqc,4.5
2021-12-01,La Haine,1995,https://boxd.it/2as8,5
2021-12-04,Before Sunrise,1995,https://boxd.it/2bcU,5
2021-12-08,Ghost in the Shell,1995,https://boxd.it/1YYc,4
2021-12-14,The Witch,2015,https://boxd.it/9X0m,4.5
2021-12-18,The Power of the Dog,2021,https://boxd.it/m99E,2.5
