Date,Name,Year,Letterboxd URI
2024-12-14,The Fall,2006,https://boxd.it/1NoM
2024-12-14,Carandiru,2003,https://boxd.it/209g
2024-12-16,The Human Condition III: A Soldier's Prayer,1961,https://boxd.it/1dIQ
2024-12-16,The Human Condition I: No Greater Love,1959,https://boxd.it/1jAy
2024-12-16,The Human Condition II: Road to Eternity,1959,https://boxd.it/1dJa
2024-12-16,Yi Yi,2000,https://boxd.it/1vCw
2024-12-16,My Dinner with Andre,1981,https://boxd.it/1vLe
2024-12-21,Felicidades,2000,https://boxd.it/2rNC
2025-01-03,Sympathy for Mr. Vengeance,2002,https://boxd.it/23WU
2025-01-12,Wallace & Gromit: Vengeance Most Fowl,2024,https://boxd.it/z14C
2025-01-14,Strange Darling,2023,https://boxd.it/CVIk
2025-01-16,A History of Violence,2005,https://boxd.it/2bfa
2025-01-24,Hells,2008,https://boxd.it/4e8q
2025-01-25,I'm Still Here,2024,https://boxd.it/BPEO
2025-01-25,Genocyber,1994,https://boxd.it/MEmc
2025-02-01,The Color of Pomegranates,1969,https://boxd.it/1u94
2025-02-08,Tetris,2023,https://boxd.it/rePK
2025-02-10,Cutie Honey,2004,https://boxd.it/1CHe
2025-03-03,The Skin I Live In,2011,https://boxd.it/99A
2025-03-05,Punch-Drunk Love,2002,https://boxd.it/20E4
2025-03-05,Better Man,2024,https://boxd.it/u6t8
2025-03-17,Edward II,1991,https://boxd.it/TVA
2025-04-02,The Animatrix,2003,https://boxd.it/qH0
2025-04-11,Confessions,2010,https://boxd.it/uRS
2025-04-12,Jane,2017,https://boxd.it/gStC
2025-04-13,Koko: A Talking Gorilla,1978,https://boxd.it/uR4
2025-04-13,Project Nim,2011,https://boxd.it/6B2
2025-04-13,Africa,2013,https://boxd.it/61gg
2025-04-28,Band of Brothers,2001,https://boxd.it/aRNY
2025-05-02,"Spring, Summer, Fall, Winter... and Spring",2003,https://boxd.it/2b6W
2025-05-03,Locke,2013,https://boxd.it/6hHC
2025-05-03,Bronson,2008,https://boxd.it/1GM8
2025-05-05,The Piano Teacher,2001,https://boxd.it/2886
2025-05-06,Man Facing Southeast,1986,https://boxd.it/HBo
2025-05-06,I Dream in Another Language,2017,https://boxd.it/bZ5M
2025-05-06,Dungeons & Dragons: Honor Among Thieves,2023,https://boxd.it/hN1A
2025-05-07,"Batman: The Dark Knight Returns, Part 2",2013,https://boxd.it/4xzg
2025-05-07,The Lego Batman Movie,2017,https://boxd.it/azp0
2025-05-20,Tokyo Decadence,1992,https://boxd.it/1LuS
2025-05-25,A Tale of Two Sisters,2003,https://boxd.it/248m
2025-05-30,Paths of Glory,1957,https://boxd.it/29b6
2025-06-14,Gangs of New York,2002,https://boxd.it/25FG
2025-06-15,The Dreamers,2003,https://boxd.it/28X4
2025-06-23,STRAW,2025,https://boxd.it/SNQC
2025-06-23,Nobody Knows,2004,https://boxd.it/26E0
2025-06-25,Platform,2000,https://boxd.it/2O0S
2025-06-28,Let Me In,2010,https://boxd.it/Zsa
2025-06-30,Female Prisoner #701: Scorpion,1972,https://boxd.it/2rKo
2025-06-30,On the Silver Globe,1988,https://boxd.it/1sAM
2025-06-30,Lilya 4-ever,2002,https://boxd.it/1SyW
2025-06-30,Nowhere,1997,https://boxd.it/286E
2025-07-01,The Staircase,2022,https://boxd.it/AICk
2025-07-06,Hated: GG Allin and The Murder Junkies,1993,https://boxd.it/MyY
2025-07-07,Only Lovers Left Alive,2013,https://boxd.it/4O1U
2025-07-09,Cinema Paradiso,1988,https://boxd.it/1UlA
2025-07-12,Dallas Buyers Club,2013,https://boxd.it/4O8G
2025-07-17,Coherence,2013,https://boxd.it/6xza
2025-07-20,"Night Is Short, Walk On Girl",2017,https://boxd.it/ffwA
2025-07-22,Le Bonheur,1965,https://boxd.it/xyk
2025-07-24,Lemmy,2010,https://boxd.it/wNy
2025-07-27,Kimi,2022,https://boxd.it/u7LW
2025-07-29,Tokyo Sonata,2008,https://boxd.it/1ZxQ
2025-08-12,Burnt Money,2000,https://boxd.it/1syG
2025-08-12,Martin (Hache),1997,https://boxd.it/Uve
2025-08-14,"It's Never Over, Jeff Buckley",2025,https://boxd.it/RSnI
2025-08-17,Eddington,2025,https://boxd.it/o6MC
2025-08-28,Together,2025,https://boxd.it/LdFE
2025-09-02,Riders of Justice,2020,https://boxd.it/oHQc
2025-09-06,Grizzly Man,2005,https://boxd.it/2ag2
2025-09-11,The Assassination of Jesse James by the Coward Robert Ford,2007,https://boxd.it/24dG
2025-09-15,Serpico,1973,https://boxd.it/1ZjE
2025-09-15,My Own Private Idaho,1991,https://boxd.it/2ak4
2025-10-04,Vampire Hunter D: Bloodlust,2000,https://boxd.it/1L3i
2025-10-13,V/H/S/94,2021,https://boxd.it/shhy
2025-10-13,V/H/S/Halloween,2025,https://boxd.it/QS3Q
2025-10-14,Exit Through the Gift Shop,2010,https://boxd.it/13E0
